Country Name,Country Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Least developed countries: UN classification,LDC,5510272.61,5648206.06,6022594.47,6517492.85,6872677.64,6943961.16,7360658.68,7307018.2,7792862.6,7931740.66,8128892.62,8394659.84,8512693.69,8672539.43,8729960.41,9241913.62,9998975.48,10065441.37,10093352.45,9848633.61,10027043.79
Low income,LIC,1993698.5,1965635.5,2202966.5,2330843.5,2345215.5,2269738.5,2392266.5,2487188.5,2631044,2664878.99,2787545.89,2831166.41,2954985.88,2990870.54,2929248.68,3056802.77,3389091.31,3361266.65,3634337.38,3505110.05,3613669.86
Sri Lanka,LKA,267550,272602,319759.2,332854.4,216663,278603,304903,323888,336942,390187,421764.7,450850.61,461229.6,493496.68,469124.25,488290.38,476407.47,479608.53,471989.4,387042.8,380278.23
Lower middle income,LMC,20720045.3,20777425.27,21476549.45,21776568.8,22559809.12,23056635.78,23736515.36,24063958.23,24712966.93,25804961.67,25661547.62,26988728.27,27327936.38,28615654.05,28817066.41,29750392.7,31403746.56,31450581.82,31503890.73,30130004.09,30874320.56
Low & middle income,LMY,58951063.5,59495566.45,57820591.4,61739111.89,62454213.03,60994396.68,61855336.57,62067608.59,62421772.66,61095783.58,65342470.31,63571208.43,65087143.57,64768639.29,66436884.03,66211770.63,68191694.21,70977662.28,68094494.36,66598250.3,68269389.45
Late-demographic dividend,LTE,34055197.19,34322847.76,33680498.82,35014420.93,34526557.36,33954347.24,33656414.99,33091471.45,33637820.32,33047109.74,33767145.75,34197229.22,33918729.13,34753343.13,34856986.99,34514212.16,35014113.35,34897730.47,34166446.52,33258289.68,33342572.77
Lithuania,LTU,150831,150146,157205,161988,139785,154548,187513,182760,172692,149851,138557,66970,90871,150067,85144,106945,89770,75019.25,102219.91,90991.31,96152.49
Latvia,LVA,128176,117553,114543,125391,150618,140389,155276,157934,163213,164819,154310,94404,116029,119536,81340,114278,69411.6,73144,71385,64989,61658.11
"Macao SAR, China",MAC,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
St. Martin (French part),MAF,0,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
Morocco,MAR,1106101.9,969539.6,929778.6,931280.7,1039210,891750.6,891845.5,1006167.7,1175436.5,1143652.11,974039.99,1177472.38,1275508.7,1375097.05,1384017.61,1472314.42,1402130.8,1386548,1475913.65,1397532.69,1432199.14
Madagascar,MDG,124415,130125,130670,135916,133648,134693,148578,121264,132103,129638,127070,118075.26,104597.02,95821.26,114751.4,142332.93,161606.38,129588.66,113782.26,111152.84,113937.24
Maldives,MDV,127636,163770,156132,158528,186274,185811,144511,133839,117061,122804,120835,120000,130205.27,128650.83,127309.76,129421.05,142349.27,150992.58,135062.86,148565.28,144993.2
Middle East & North Africa,MEA,2684821.99,2544543.97,2568550.72,2590374.57,2693411.61,2666575.94,2554420.82,2587138.88,2822146.61,2743914.91,2590425.44,2982294.13,3107275.95,3248212.92,3243475.03,3393190.09,3498036.42,3738177.67,3893173.36,3959093.73,4154189.17
Mexico,MEX,1445866.5,1481136.88,1386469.05,1289156.43,1325083.51,1368538.3,1475194.49,1586975.66,1619392.83,1528282,1571660.63,1581200.21,1626418.14,1529367.57,1479562.95,1524467.29,1637380.51,1699290.21,1581126.75,1511892.56,1628652.14
Marshall Islands,MHL,36579,39857,38882,47884,57566,43957,61212,35026,46382.4,59800.53,93318.45,77090,80643,78727,89718,65224,70313,78363.2,101650.81,88202.61,95932.72
Middle income,MIC,57269663,57769996.95,55879844.9,59609112.39,60294166.53,58888346.18,59724468.07,59918585.09,60124273.66,58761828.58,62894007.98,61041409.44,62450912.9,62072118.59,63804980.7,63538736.24,65267394,68025126.79,64901431.73,63480129.18,65092370.26
North Macedonia,MKD,128,148,162,213,271,147,177,166,222,236,268,249,334,282,350,122,87,140,399.5,472.88,514
Mali,MLI,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,108134,71229,99353,80000,92480,102486,106221,90386,109362,117690,107100
Malta,MLT,902,1085,1138,1138,1406,1332,1235,1391,1641,1836,1920,2200.13,2355.77,2405.3,2563.39,3562.27,2163.62,2731.85,2491.86,2103.23,2502.89
Myanmar,MMR,1187880,1284340,1343860,1586600,1732250,1823450,1907750,1907010,1892600,1961150,1975920,1962231,1919001,1970550,1970470,2072390,2155440,2036869,1951120,1977330,1665740
Middle East & North Africa (excluding high income),MNA,2355156.99,2217242.97,2245293.72,2244778.57,2352687.61,2310263.94,2200756.82,2252313.88,2478745.61,2406181.91,2269334.44,2608919,2730155.18,2863249.42,2815799.84,2935380.12,2979273.2,3031634.52,3146343.5,3012206.05,3063120.46
Montenegro,MNE,0,0,0,0,0,1524.8,1131,1680,1661.2,1345.4,1517.6,1390.6,1580.5,1556.4,1486.8,1595,1079.7,1292.8,1276,816.45,808
Mongolia,MNG,290,263,382,305,366,326,185,88,90,100,80,61,55,49,63,15,22,25,30,25,0
Northern Mariana Islands,MNP,406,296,172,169,214,221,219,168,192,129.66,98.46,106.53,158.12,146.14,103.17,98.84,118.58,114.29,97.27,102.37,189.21
Mozambique,MOZ,36556,38185,87904,90588,83996,93882,92623,121655,150780,162555,195280.29,210695.71,222101,253023.54,286715.91,299752.24,329561.15,349425.64,401122.35,394952.42,373563.2
Mauritania,MRT,140142,156131,199650,270733,304877,165312,223207,195328,216900,276238,372011,437709,387833,378339,403776,609754,794580,967706.75,720849.51,678425,860217.11
Mauritius,MUS,10986,10706,10968,9971,9855,8681,8325,6871,7856,7366,7306,6352,7912.86,14656.97,15799.2,18215.37,24986.84,29341.48,34236.29,25989.69,30639.7
Malawi,MWI,40619,41329,53543,56463,59595,72787,66500,70019,69325,98298,82415,125392,112248,116129,141643,152852,199455,221849,154922,171115.22,170560
Malaysia,MYS,1238860,1279653,1291121,1339771,1218264,1290377,1389534,1402330,1401503,1437456,1382880.85,1481361.21,1492620,1468726,1496053.98,1584371.02,1474370,1463031.39,1465095.14,1391044.75,1337230.57
North America,NAC,6083789,6104728,6141077,6206410,6108117,6010755,5845779,5342329,5223060,5373083,6075257.33,5916060.23,5951102.36,5827702.53,5864606.5,5736410.43,5882590.29,5658631.15,5618028.12,5007758.88,5037356.64
Namibia,NAM,548777,626068,638207,571199,553995,509585,413333,372822,378847,381929,413927.99,469395.93,485502.6,443881.6,509858,515657.1,501421.98,490194.21,467040.16,329670.13,410849.46
New Caledonia,NCL,3499,3457.9,3552.5,3853,3467,3333,3704.7,3919,3862,4027,3993.48,3882.55,3907,4245,4654,3885,3694,3128.77,3737.23,3326.6,3304.96
Niger,NER,20800,23560,55860,51466,50018,29835,29728,29960,29884,40000,53173,46500,45000,47000,27000,34592,25195,31042,40058,46000,47200
Nigeria,NGA,452146,481056,475162,465251,523182,552323,530420,601368,598210,616981,635486,668754,721355,759828,710331,734731,916283.97,878155,825013.25,783101.68,805210
Nicaragua,NIC,20033,19558,15654,19668,28239,32198,27316,31312,37853,40978,33527,33783.99,40979.01,54364,41534,45022.99,50982,54553.99,51309.99,43466.54,55274.53
Netherlands,NLD,518163,464036,526281,521636,555606,513079,487592,440291,386942,434419,370089.07,347264,327437,371367,384475,370249,500183,411714,320361.8,307176.11,299541
Norway,NOR,2862152,2923116,2702012,2672699,2546500,2401781,2514659,2583895.25,2693500.41,2838470.07,2442576.51,2282646.45,2241396.58,2450364.12,2452205.1,2201293.54,2558757.47,2665068.3,2478585.84,2625367.78,2555512.43
Nepal,NPL,16700,17900,18888,19947,19983,20016,20100,21500,21500,21500,21500,21500,21500,21500,21500,21500,21000,21000,21000,21000,21000
Nauru,NRU,360,342,342,300,330,370,420,475,530,589,255,228,263,270,270,270,270,9155,33525,92388,120409
New Zealand,NZL,569836,588649,550929,546072,545460.01,476798.01,494692.01,452534.33,439762.4,436593.37,430337.99,441930.24,444067.29,442371.72,433812.3,424940.96,431143.14,408010.8,412627.86,364964.03,343097.81
OECD members,OED,31641873.1,31315174.62,30015441.33,30691540.39,29631194.5,28893038.22,28519436.86,27650693.76,27097707.44,26427072.54,26700184.3,25464770.55,24896914.63,25387810.34,24877817.11,23204226.27,24844909.92,24741689.5,23734485.65,22539698.36,22412428.25
Oman,OMN,129907,142669,138481,165016,157326,147668,151744,151910,158551,163927,158566,191563,206169,211037,257022,279588,347539,554558,579186,793418.95,922083.32
Other small states,OSS,3044076,3397078,3176744,2912268,2867256,2428270.8,2325532,2170666,2047869.2,1998706.4,2058061.64,2405243.48,2375057.85,2039359.6,2392174.04,2190907.45,2324826.01,2421930.49,2174989.49,2002069.56,2103835.82
Pakistan,PAK,540804,534670,499366,494829,449993,506473,453295,470665,459058,455514,457738.99,479974,484646.01,480123,509478.99,516356.02,536925.99,504810.01,488503,492783,496059
Panama,PAN,276769,256302,230114,215374,264503,263606,222601,230648,239371,182079,171022.59,179657.06,199775.23,158967.95,145031.9,150081.86,147409.6,175655.8,232799.69,194447.24,177069.2
Peru,PER,7991712,8771365,6093924,9611945,9393488,7020925,7221330,7408317,6933455,4305975,8254957,4852760,5876493,3599053,4843860,3828751,4185193,7208637.48,4852821.39,5676965.48,6576171.02
Philippines,PHL,1961552,2045093,2184208,2235028,2293481,2341380.49,2520508,2550700,2513836,2502872,2220780,2206570.32,2201842.58,2249191.27,2153987,2027025.5,1889154.23,1821435.71,1830163.66,1914854.37,1842066.89
Palau,PLW,1084,1027,1047,1079,1430.9,967,1141.82,1168.2,1034,967,1000.2,905,887,864,848,818,3455,3887.61,4692.12,776,786
Papua New Guinea,PNG,125263.88,141600.41,177328.56,242999.37,254573.49,253548.7,247890.15,222826.51,230659.72,226361.95,199876.33,257621.93,241601.04,257241.04,234978.77,322268.47,328086.47,333508.43,286923.94,217797.47,188664.47
Poland,POL,225064,223440,180399,192108,155247,145479,151820,142496,223893,189722,198308,198385,214170,191598,205428,218115,226396,222704,211443,206390.3,201384.5
Pre-demographic dividend,PRE,3443742.56,3434782.83,3652186.25,3879717.25,3984697.5,3846827.5,4125397.5,4151007.5,4302445,4472906.99,4798843.4,5016960.24,5187172.91,5247812,5241809.8,5618967.67,6389636.67,6445994.26,6483666.45,6218215.96,6708350.09
Puerto Rico,PRI,5043,3237,3786,3342,3561,2806,2305,2423,2312,1180.03,1490.1,1881.76,1912.39,1810.39,1825.85,1851.46,1555.66,1640.93,1515.3,1579.69,1580
"Korea, Dem. People's Rep.",PRK,206500,205000,205000,205000,205000,205000,205000,205000,207000,217500,219000,213500,209000,226000,220000,209000,208700,207700,205200,202000,208070
Portugal,PRT,194464,203418,212817,222556,221082,229837,256683,224446,199165,223546,216159,198737.99,196558.36,183664,190100.02,186545.01,182614.98,178270.01,185049.08,159947.96,179529.54
Paraguay,PRY,25000,24200,23400,22600,21800,21000,20200,19400,18600,17800,17000,17000,17000,17000,17000,17000,17044.25,17110.55,16940.46,16975,17560
West Bank and Gaza,PSE,1950,2379,1507,2951,1814,2323,2702,2843,1525,1699,1318,2091,1930,2854,3227,3306,3208,3201,3943,4661.9,4660.7
Pacific island small states,PSS,210654.36,229127.55,311497.02,425496.96,444326.04,415693.66,431499.2,356632.9,362024.3,343112.69,365997.73,389303.99,379762.13,451603.51,516031.32,503945.46,483068,594552.85,742286.41,740150.29,754724.79
Post-demographic dividend,PST,23172889.72,22191567.28,21841990.32,21395981.09,21113933.08,20897480.05,20520827,20038563.18,19598874.11,19858236.84,19665448.78,18639946.58,18953901.86,19499621.02,19158503.07,18016150.18,18892056.79,18657988.87,17815746.95,17064738.82,16554286.7
French Polynesia,PYF,15189,15287.89,13604,12306,11589,12778,13177,12284,13373.98,13043.73,12801.61,14343.18,14503.9,15277.83,14105.23,12813.62,12396.02,13043.04,13261.04,12180.01,13243.01
Qatar,QAT,8864,7155,11295,11134,13935,16376,15190,17688,14064,13760,12985,11275,12006,16213.2,15201.8,14513.7,15358.6,14665.3,17130,15086.5,16554.5
Romania,ROU,7609,6980,9890,5095,6053,6663,6183,5410,4020,2688,3254,3960,5218,6248,9307,12728,14998,11179,10927.4,7972.88,6350.6
Russian Federation,RUS,3638827,3244064,3291224,2953369,3207876,3295920,3484225,3393966,3831957,4075796,4261516,4337952.79,4366230.92,4266059.01,4464131.46,4773470.53,4873829.59,5119477.13,4983420.15,5081017.06,5167703
Rwanda,RWA,6828,7000,7400,7826,6816,7711,9186,11587,11552,13000,16994,18980,22390,25159,29334,25013,25000,23977,20910.2,29979,32094
South Asia,SAS,5839044,5877590,5894220.2,5620971.4,5933165.99,6305756,6308316,6637383,6851904,7433413,6960042.69,7504484.02,7314918.31,7716058.94,7615045.51,8029195.46,8530735.74,8365884.12,8491389.27,7629108.09,8051233.41
Saudi Arabia,SAU,55331,57211,55440,55418,60421,65485,66221,68898,67664,65145,64481,65170,71946,68660,68130,75150,67921,50850,65477,57805,67459
Sudan,SDN,58007.5,57007.5,59007.5,63007.5,59007.5,57007.5,65516.5,68602.5,71698,71358,71008,34008,33708,33508,33008,35502,38390,41041,40770,37660,34550
Senegal,SEN,431252,398040,469284,434525,399848,368388,412360,428298,446200,409714.99,427134.55,461077.17,469595.59,458530.41,425442.13,474172.34,534939.61,484654.67,516141.27,458363.46,513957.13
Singapore,SGP,3342,2769,2085,2173,1920,3103,3522,1623,2121,1732,1618,1969,1645,1433,1265,1234,1110,1309.74,1417.69,355.59,306.32
Solomon Islands,SLB,24538.36,26252.55,36699.22,35045.67,30171.14,39525.66,32150.18,27457.7,28652.6,37544.66,38720.16,38892.07,36708.88,70717.31,67995.99,65572.36,50038,62735.11,68438.88,41067.67,49853.67
Sierra Leone,SLE,75210,82990,95926,132440,142993,144146,139535,197582,199000,200000,202000,203500,205000,206477,202100,202100,202100,202100,202100,200630,204900
El Salvador,SLV,19609,35943,35484,42415,41114,43218,54664,53287,48424,39583,54403,52060,52147,63296,54513,58558.09,59600.34,57131.59,51648.69,59674.39,59004.89
Somalia,SOM,31900,29000,30000,30000,25000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
Serbia,SRB,0,0,0,0,0,2632,2535,3153,3846,4807,5384,4798,5040,3593,3150,2067,2209,2082,2547,1932,2354
Sub-Saharan Africa (excluding high income),SSA,5288863.56,5295062.83,5598639.25,5865197.65,5821550.39,5403352.49,5603823.51,5580459.64,5579719,5935482.64,6203268.74,6645888.7,6504987.86,6762832.65,6835600.53,7237789.7,7943276.06,8025785.01,7862420.32,7676768.15,8146957.39
South Sudan,SSD,0,0,0,0,0,0,0,0,0,0,0,37000,37000,37000,37000,35000,33000,32000,32000,30000,32500
Sub-Saharan Africa,SSF,5342454.56,5358445.83,5684659.25,5965868.65,5930230.39,5496091.49,5669337.51,5649658.64,5660833,6022593.64,6278749.74,6714575.74,6578950.96,6838231.95,6940955.6,7365337.45,8085929.13,8172408.49,8004589.72,7816415.74,8286131.55
Small states,SST,3455147.36,3895784.55,3719878.02,3629252.96,3595704.04,3224786.46,3256275.2,3068744.9,2900745.33,2966148.53,2944058.02,3144454.58,2988811.68,2837211.82,3258912.33,3012700.4,3192406.3,3367246.97,3249724.76,3042886.17,3158006.77
Sao Tome and Principe,STP,3692,3820,4005,4141,4197,4323,4449,4575,4701,4837,6185.05,7400.1,8699.2,10001.39,11440.8,11719.7,9514.8,6006.55,4273.56,5679.47,6019.8
Suriname,SUR,28557,30705,35594,32872,29620,31921,30901,24132,26143,35085,35490,35930,35516,33459,39463,43063,48584,39299,31388,29772,32130
Slovak Republic,SVK,1531,1746,1646,1603,1693,1718,1994,1655,1761,1608,1935,1945,1986,1944,1971,1866,1870,1937,1853,1736,1815
Slovenia,SVN,1827,1686,1282,1023,1227,1133.17,1112.45,881.71,1035.26,941,890.61,485.19,400.22,410.5,343.39,310.52,280.07,263.74,281.36,312.02,268.8
Sweden,SWE,311817,294964,286875,269930,256359,269251,238253,231336,203415,212035,181321,151609,188951,181574,211963,205465,228726,221662,184337,179642.8,159969.28
Eswatini,SWZ,50,60,60,60,60,60,60,60,60,60,60,60,60,65,65,65,65,65,65,60,65
Sint Maarten (Dutch part),SXM,0,0,0,0,0,0,0,0,0,0,253,253,253,253,253,253,253,253,253,253,253
Seychelles,SYC,53591,63383,86020,100671,108680,92739,65514,69199,81114,87111,75481,68687.04,73963.1,75399.3,105355.07,127547.75,142653.07,146623.48,142169.4,139647.59,139174.16
Syrian Arab Republic,SYR,8291,9178,8911,8528,8447,8264,9457,6995,6607,6637,5900,5300,4800,4099,3822,4179,4065,4074,4080,3845,4310
Turks and Caicos Islands,TCA,5787.5,5124.7,5681,5506,6046,4860,6136,6804,5446.7,3801,3327,1960,2013,2361,2917,3145,1324,2090,1243,1297,2277
Chad,TCD,75000,70000,71000,74000,77000,79000,82000,85000,88000,91000,95000,100000,120000,120020,100000,110000,107045,107000,107000,105000,103000
East Asia & Pacific (IDA & IBRD countries),TEA,28484608.25,28899809.97,29708888.58,30475384.33,30710512.53,31157023.85,31396450.35,30991190.41,31127551.02,31500001.65,31976677.21,32504503.01,33146401.8,34398573.33,34796444.99,34409477.17,34371398.55,33839260.97,33276316.09,32334218.31,31674499.29
Europe & Central Asia (IDA & IBRD countries),TEC,4794926.32,4402149.34,4335353.64,4039338.63,4184971.09,4324569.23,4650105.03,4460532.08,4931634.7,5154900.9,5340038.27,5295112.51,5351047.84,5108929.77,5439021.23,5644119.21,5882459.97,6129189.67,6195601.58,6134449.53,6183446.41
Togo,TGO,23163,20946,27485,28013,27706,24830,19905,22765,27025,27535,24122,19320,20015,19849,21497,31891,26915,24620,25526,18034,17984
Thailand,THA,2833974,2842428,2849670,2839669,2814295,2698803,2304951,1873432,1870702,1810620,1835125.15,1727647.07,1831808.5,1676566.77,1506409.08,1530594.32,1493058.51,1536756,1527182.38,1588859.33,1412123.25
Tajikistan,TJK,137,181,158,184,167,215,225,380,535,690,843,714,1179,1174,1176.01,1099.99,1105,1195.99,1716.33,1809.86,2350.22
Turkmenistan,TKM,12749,12812,14543,14992,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,14605,15042
Latin America & the Caribbean (IDA & IBRD countries),TLA,17076260.5,18222823.88,14794939.05,19727519.43,18963471.56,16639075.3,16483444.69,16697988.66,15972500.83,12226355,16595545.82,12555260.18,12898312.61,11052839.21,11666383.8,10419425.96,11449588.94,14482940.62,12091883.69,12619968.13,14186716.91
Timor-Leste,TLS,3561,3720,3850,4000,3650,3300,2911,3243,3200,3200,3200,3200,3200,3200,3200,3200,3200,3327.2,4575,5174,4933
Middle East & North Africa (IDA & IBRD countries),TMN,2353206.99,2214863.97,2243786.72,2241827.57,2350873.61,2307940.94,2198054.82,2249470.88,2477220.61,2404482.91,2268016.44,2606828,2728225.18,2860395.42,2812572.84,2932074.12,2976065.2,3028433.52,3142400.5,3007544.15,3058459.76
Tonga,TON,4947,5260,4754,3352,2566,2882,2727,2293,1955,2076,2130.34,2323.16,1896,1921,1803,1675,1401,1244.39,1212.61,1097.12,1165.21
South Asia (IDA & IBRD),TSA,5839044,5877590,5894220.2,5620971.4,5933165.99,6305756,6308316,6637383,6851904,7433413,6960042.69,7504484.02,7314918.31,7716058.94,7615045.51,8029195.46,8530735.74,8365884.12,8491389.27,7629108.09,8051233.41
Sub-Saharan Africa (IDA & IBRD countries),TSS,5342454.56,5358445.83,5684659.25,5965868.65,5930230.39,5496091.49,5669337.51,5649658.64,5660833,6022593.64,6278749.74,6714575.74,6578950.96,6838231.95,6940955.6,7365337.45,8085929.13,8172408.49,8004589.72,7816415.74,8286131.55
Trinidad and Tobago,TTO,16598,18768,14592,14713,16996,13123,13463,13833,13863,13930,13114,11746.99,13217.02,13290,12141,13115.94,12942.13,13184.34,12941.71,12912.65,13084.17
Tunisia,TUN,97526.09,96727.57,90262.12,110371.67,109153.31,111394.54,103821.19,96189.75,94536.81,93178.8,102200.6,108184,109825,114520,117011,109777,107896.99,115122.99,130982,121822,124243.45
Turkiye,TUR,527736,566682,507772,550482,426496,533048,632450,494118,463917,485925,514790.15,432452.64,374141.36,302228.97,431918.78,335345.27,354470.5,314242.51,463194.96,364404.88,328158
Tuvalu,TUV,500,600,1500,2450,2560,3160,3770,4380,5228,11466,11850,17619,12923,7379,6147,7684,7476,12823.8,8359.95,11295,31096.01
Tanzania,TZA,362528.74,349398,375548.75,387732.68,399052,360782,450246,350800,360348,377081,377710.51,409291.63,410555.08,374465.34,408974.47,404513.34,423903.73,413438.74,505165.26,511056.16,514575.42
Uganda,UGA,220726,221898,241810,371789,416758,367099,431500,403500,412000,413805,437415,407638,419249,461196,396205,389244,389629,439354,603224,566261.2,621986.96
Ukraine,UKR,310978,265746,257628,222272.01,268007,219228,215400,234079,220718,209948,179984,154392,203668.7,143083.06,120486.15,75858.84,93481.88,76506.98,81730.63,69467.1,62506.49
Upper middle income,UMC,36549617.7,36992571.68,34403295.45,37832543.59,37734357.41,35831710.4,35987952.71,35854626.86,35411306.73,32956866.91,37232460.36,34052681.17,35122976.52,33456464.54,34987914.29,33788343.54,33863647.44,36574544.97,33397541,33350125.09,34218049.7
Uruguay,URY,104982,108102,117269,122989,125818.05,133987,108722.2,108797,80872,74153,89269.13,76161.75,59195.87,65080.72,59540.1,51551.74,65308.64,69725.34,68005.77,62879.87,66299.91
United States,USA,5006556,4998490,4986926,4992380,4962122,4887768,4800372,4374054,4229471,4396944,5135091,5081140,5057467,4942403,4996392,4851600,5030070,4798390,4824717,4267709,4282433
Uzbekistan,UZB,3400,2600,2100,1900,2900,3400,3100,3800,4100,4078,8513,11052,13670,17116,22956,27267,31450,33600,40000,46100.02,53000.01
St. Vincent and the Grenadines,VCT,31944,46076,37767,78315,44104,51584,63309,55898,59587,66367,76576,10156.27,39499.91,81332.54,26132.99,22833.71,32937.79,2327.89,1968.79,2127.52,1586.28
"Venezuela, RB",VEN,468103,509739,503840,573593,403130,316397,347958,295566,316483,218853,201429.2,213248.66,213755.96,209498.24,240619.3,283742.64,237200.08,182599.97,176300,195900.02,223099.94
British Virgin Islands,VGB,837,1062,2771,1262,1295,1308,1251,1202,1201,1201,1200,1196,1203,1205,1200,1192,1192,1192,1192,1121,1132.83
Virgin Islands (U.S.),VIR,1738,1796,1867,1970,1634,2213,1458,1314,1393,1081.26,810.75,619.22,490.6,503.6,461.51,588.54,548.91,290,332.72,355.61,420.32
Vietnam,VNM,1724758,1802598,1856005,1940034,1987900,2026600,2074500,2054700,2178400,2249711,2399528,2523673,2623588,2743949,2860638,3077941,3314293,3346179,3440531.31,3506056.76,3540250.15
Vanuatu,VUT,36176,44968,113867,212786.63,229553,222561,213697.2,172595,150544.3,101244.5,59315.5,67482.59,70135.49,71400.2,81739,46075.1,27786,38017.56,51033.45,51409.42,55931.96
World,WLD,91685232.82,92053371.59,89287907.35,93964637.14,93592372.36,91172211.24,91527753.39,90607908.48,90001592.4,88085534.24,92559407.78,89684199.27,90873390.03,91426520.2,92557876.47,90549716.77,94223841.98,96989160.04,93028323.46,90592251.99,92177119.15
Samoa,WSM,8613,10881,9703,9934,9836,12435,14091,13899,13279,12840,11452,11960.89,11253,7553,8701.33,8808,10853,9741.59,11212.82,9953.7,9176.25
"Yemen, Rep.",YEM,142198,179584,228116,256300,238400,229660,179916,132062,179603,163861,154060.99,227114.98,228782.99,214201.98,177408,152130.99,131289.99,131307.99,131305.73,131306.52,131306.52
South Africa,ZAF,782717,793664,840624,911731,825109,629034,690857,655915,523352,640656,544964,719247.41,430865.75,609247,572335,622090.02,529925.66,570386.15,449115.36,603020.12,491329.61
Zambia,ZMB,63000,63000,66332,67725,65748,60237,73542,79404,84716,76396,69364,87638,87787,87226,90064,91975,101036,98538,97463,106836,105125
Zimbabwe,ZWE,12300,11500,10600,10500,10420,10500,10500,11400,12800,14550,17200,19900,22500,28353.13,24833.54,29356.54,31258.35,29306.96,26569.26,26671.55,22734
